Imported from ls-asymmetric-typeE-9x11L130-sample00.h5 hdf Network
  2730.222137 3315.944035 2971.445557 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  154 total number of segments
name	type	from	to	diam		flow		HD
327 2105.000000 2163.360718 2111.445557
328 2105.000000 1938.194092 1156.144554
329 1585.000000 2313.471802 1262.289108
330 2105.000000 2088.305176 1899.156433
331 1455.000000 1788.083130 1686.867310
332 1845.000000 1788.083130 2005.301025
333 2235.000000 1487.860962 2111.445557
334 935.000000 2163.360718 1474.578217
335 2040.000000 1300.222137 1580.722778
336 2040.000000 1525.388733 1899.156433
337 870.000000 2125.833008 2005.301025
338 1195.000000 2088.305176 1262.289108
339 1065.000000 2088.305176 1262.289108
340 1520.000000 1525.388733 1899.156433
341 1975.000000 1713.027588 2111.445557
342 2105.000000 2013.249695 1050.000000
343 1065.000000 2313.471802 1899.156433
344 1000.000000 1900.666443 1050.000000
345 1455.000000 2013.249695 1050.000000
346 2040.000000 1375.277649 1156.144554
347 1975.000000 1337.749908 1368.433655
348 2105.000000 1788.083130 2005.301025
349 1975.000000 2163.360718 2111.445557
350 1520.000000 1975.721924 1899.156433
351 1455.000000 2163.360718 1474.578217
352 870.000000 2200.888550 1899.156433
353 1910.000000 2050.777466 2111.445557
354 2105.000000 1112.583305 1368.433655
355 1650.000000 2125.833008 1050.000000
356 2105.000000 1337.749908 1050.000000
357 1910.000000 1075.055534 1262.289108
358 870.000000 2050.777466 1793.011902
359 2040.000000 1075.055534 1262.289108
360 1975.000000 1112.583305 1050.000000
361 935.000000 2088.305176 1899.156433
362 2040.000000 1525.388733 1262.289108
363 1650.000000 1825.610840 1793.011902
364 2040.000000 1075.055534 1580.722778
365 2040.000000 1600.444275 2111.445557
366 1325.000000 2088.305176 1262.289108
367 1455.000000 1938.194092 1474.578217
368 2170.000000 1600.444275 1793.011902
369 1520.000000 2050.777466 1474.578217
370 1780.000000 1675.499817 1686.867310
371 1390.000000 2125.833008 1368.433655
372 1520.000000 1825.610840 2111.445557
373 1780.000000 1600.444275 1793.011902
374 2040.000000 1375.277649 2111.445557
375 2105.000000 1713.027588 1156.144554
376 2040.000000 2050.777466 1156.144554
377 2040.000000 1900.666443 2005.301025
378 2170.000000 2125.833008 1686.867310
379 1520.000000 2200.888550 1262.289108
380 1325.000000 2238.416382 1368.433655
381 1260.000000 2200.888550 1262.289108
382 1260.000000 1975.721924 1262.289108
383 1195.000000 2238.416382 1368.433655
384 1520.000000 2275.943970 1156.144554
385 2170.000000 1300.222137 1262.289108
386 1975.000000 1112.583305 1686.867310
387 1910.000000 1225.166611 1050.000000
388 1000.000000 2125.833008 1050.000000
389 1585.000000 1863.138611 1899.156433
390 1455.000000 2088.305176 1262.289108
391 1455.000000 2238.416382 1368.433655
392 1130.000000 2125.833008 1050.000000
393 2105.000000 1487.860962 2111.445557
394 1585.000000 1713.027588 2111.445557
395 2040.000000 2200.888550 1899.156433
396 1715.000000 1713.027588 2111.445557
397 1520.000000 1900.666443 2005.301025
398 1065.000000 2013.249695 1686.867310
399 1000.000000 2125.833008 1368.433655
400 1130.000000 2125.833008 1686.867310
401 870.000000 1975.721924 1899.156433
402 870.000000 1825.610840 2111.445557
403 1455.000000 1713.027588 1474.578217
404 1130.000000 2200.888550 1580.722778
405 935.000000 2163.360718 2111.445557
406 2040.000000 1525.388733 1580.722778
407 2040.000000 1600.444275 1474.578217
408 2040.000000 1450.333221 1686.867310
409 1650.000000 2050.777466 1793.011902
410 2170.000000 1600.444275 1474.578217
411 2170.000000 1675.499817 1368.433655
412 2105.000000 1637.971985 1580.722778
413 1975.000000 2238.416382 2005.301025
414 1910.000000 2200.888550 1899.156433
415 1910.000000 2275.943970 2111.445557
416 2040.000000 1825.610840 1156.144554
417 2040.000000 1900.666443 1050.000000
418 2040.000000 1750.555298 1262.289108
419 1975.000000 1713.027588 1156.144554
420 1910.000000 1825.610840 1156.144554
421 1975.000000 1637.971985 1262.289108
422 2170.000000 1375.277649 1793.011902
423 2235.000000 1262.694366 1793.011902
424 2040.000000 1375.277649 1793.011902
425 1845.000000 1788.083130 1686.867310
426 1845.000000 1863.138611 1580.722778
427 1910.000000 1825.610840 1793.011902
428 1455.000000 1713.027588 2111.445557
429 1520.000000 1600.444275 2111.445557
430 1325.000000 1713.027588 2111.445557
431 2040.000000 2200.888550 1262.289108
432 1975.000000 2088.305176 1262.289108
433 1975.000000 2313.471802 1262.289108
434 1975.000000 1412.805420 1580.722778
435 1910.000000 1525.388733 1580.722778
436 1975.000000 1337.749908 1686.867310
437 870.000000 2125.833008 1050.000000
438 805.000000 2013.249695 1050.000000
439 805.000000 2238.416382 1050.000000
440 935.000000 1863.138611 1899.156433
441 870.000000 1825.610840 1793.011902
442 1000.000000 1900.666443 2005.301025
443 1455.000000 1562.916504 2005.301025
444 1455.000000 1637.971985 1899.156433
445 1390.000000 1600.444275 1793.011902
446 1455.000000 1713.027588 1793.011902
447 1585.000000 1713.027588 1793.011902
448 1845.000000 1863.138611 1899.156433
449 1715.000000 1863.138611 1899.156433
2 total number of boundary nodes
node	bctyp	press/flow	HD	PO2
92 	2 	143.134737 	0.37 	55. 1. 1
90 	0 	3.367833 	0.37 	55. 1. 1
