Imported from s-asymmetric-typeE-17x21L130-sample00.h5 hdf Network
  4590.444275 5744.471436 4942.891113 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  352 total number of segments
name	type	from	to	diam		flow		HD
90 3340.000000 2801.332886 2323.734619
91 870.000000 1525.388733 1262.289108
92 740.000000 1450.333221 1050.000000
93 2950.000000 2726.277222 2111.445557
94 2820.000000 2801.332886 1686.867310
95 2690.000000 2426.055176 1899.156433
96 1260.000000 1600.444275 1474.578217
97 1650.000000 1525.388733 1262.289108
98 1650.000000 1675.499817 1686.867310
99 2560.000000 2050.777466 2111.445557
100 2300.000000 1900.666443 2323.734619
101 2300.000000 1600.444275 2111.445557
102 2690.000000 3176.610352 1474.578217
103 870.000000 3176.610352 2111.445557
104 2690.000000 3476.832764 1686.867310
105 2040.000000 1450.333221 1050.000000
106 1780.000000 1300.222137 3172.891113
107 2430.000000 1675.499817 1050.000000
108 1780.000000 1600.444275 2111.445557
109 1390.000000 1525.388733 3172.891113
110 1650.000000 1525.388733 2536.023804
111 2430.000000 2125.833008 1050.000000
112 2040.000000 2350.999634 1050.000000
113 1130.000000 2275.943970 2748.312866
114 2820.000000 3401.777100 2111.445557
115 2690.000000 3026.499390 2323.734619
116 2430.000000 1675.499817 1686.867310
117 1910.000000 1975.721924 2536.023804
118 1650.000000 2275.943970 2748.312866
119 1780.000000 3251.666016 1050.000000
120 1260.000000 1600.444275 2748.312866
121 1000.000000 1750.555298 2536.023804
122 2170.000000 1525.388733 2536.023804
123 2300.000000 2501.110596 2111.445557
124 1520.000000 3251.666016 1050.000000
125 1000.000000 2050.777466 2111.445557
126 1520.000000 2651.221680 2536.023804
127 1260.000000 1900.666443 2960.602051
128 1780.000000 2801.332886 2323.734619
129 1650.000000 2426.055176 1262.289108
130 2690.000000 1375.277649 2111.445557
